시도,시군구,구분,2017,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,2021,,,,,,,,,,,,,
,,,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명,합계,승용차,승합차,화물차,특수차,이륜차,사륜오토바이(ATV),원동기장치자전거,자전거,개인형이동수단(PM),건설기계,농기계,기타,불명
,,부상자수,1441,999,91,80,3,67,,82,62,3,1,,,53,1474,1030,77,94,2,117,,24,72,5,9,,3,41,1316,902,83,73,3,109,,35,65,10,19,,,17,1145,775,51,70,,115,,39,48,25,6,,,16,1216,743,64,85,,137,1,39,79,22,8,,,38
,강북구,사고건수,1202,709,108,97,1,170,,42,46,,4,,,25,1216,746,112,92,2,161,1,18,41,1,7,,2,33,1277,750,125,113,3,204,,2,57,1,3,,1,18,1087,621,91,100,,193,,18,38,3,9,,,14,1017,554,91,90,1,185,,12,56,16,6,,,6
,,사망자수,9,5,1,1,0,1,,0,0,,1,,,0,13,7,3,1,0,0,0,0,1,0,1,,0,0,7,0,0,1,0,4,,0,2,0,0,,0,0,3,2,0,0,,1,,0,0,0,0,,,0,6,3,0,1,0,1,,0,0,0,1,,,0
,,부상자수,1567,945,118,131,1,229,,58,53,,6,,,26,1633,1006,125,124,2,254,2,19,41,1,23,,2,34,1706,1061,158,136,4,260,,2,62,1,3,,1,18,1420,831,115,130,,251,,22,43,3,11,,,14,1302,724,113,119,1,242,,15,59,18,5,,,6
,금천구,사고건수,824,511,88,75,,92,,9,26,,2,,1,20,932,616,77,80,3,101,1,4,25,,11,,1,13,920,518,94,99,3,120,,2,40,5,14,,1,24,810,471,75,84,5,100,,5,36,7,9,,1,17,827,501,83,77,1,105,,3,30,3,9,,2,13
,,사망자수,6,4,1,0,,1,,0,0,,0,,0,0,6,3,0,2,0,0,0,0,0,,1,,0,0,9,4,1,2,0,1,,0,1,0,0,,0,0,6,4,0,1,0,0,,0,1,0,0,,0,0,16,5,1,5,0,3,,0,1,0,0,,1,0
,,부상자수,1228,818,140,100,,108,,11,27,,2,,1,21,1326,861,161,114,3,131,2,4,26,,10,,1,13,1353,813,153,123,5,161,,2,48,5,18,,1,24,1084,644,103,117,7,127,,5,42,10,11,,1,17,1167,730,113,109,3,146,,4,32,4,11,,1,14
,중구,사고건수,354,231,23,37,1,50,1,4,2,,2,,1,2,393,263,18,46,2,48,,,4,,2,,2,8,295,193,15,30,1,45,1,,2,1,1,,,6,284,173,19,27,1,51,,,5,,3,,,5,265,160,14,31,4,49,,1,3,1,,,,2
,,사망자수,4,3,0,0,0,1,0,0,0,,0,,0,0,3,1,0,1,0,1,,,0,,0,,0,0,1,0,1,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,0,3,2,0,1,0,0,,0,0,0,,,,0
,,부상자수,464,309,34,42,1,65,1,5,2,,2,,1,2,523,376,19,59,2,51,,,4,,2,,2,8,384,263,23,33,1,51,1,,2,1,1,,,8,360,225,24,39,1,57,,,5,,4,,,5,357,228,19,42,4,57,,1,3,1,,,,2
